,Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
251,26.0,2.0,0.5,-1.199999999999998,0.1,True
252,26.0,2.0,0.5,-1.199999999999998,0.1,True
253,26.0,2.0,0.5,-1.199999999999998,0.1,True
254,26.0,2.0,0.5,-1.199999999999998,0.1,True
255,26.0,2.0,0.5,-1.199999999999998,0.1,True
256,26.0,2.0,0.5,-1.199999999999998,0.1,True
257,26.0,2.0,0.5,-1.199999999999998,0.1,True
258,26.0,2.0,0.5,-1.199999999999998,0.1,True
259,26.0,2.0,0.5,-1.199999999999998,0.1,True
260,27.0,2.0,0.5,-1.099999999999998,0.1,True
261,27.0,2.0,0.5,-1.099999999999998,0.1,True
262,27.0,2.0,0.5,-1.099999999999998,0.1,True
263,27.0,2.0,0.5,-1.099999999999998,0.1,True
264,27.0,2.0,0.5,-1.099999999999998,0.1,True
265,27.0,2.0,0.5,-1.099999999999998,0.1,True
266,27.0,2.0,0.5,-1.099999999999998,0.1,True
267,27.0,2.0,0.5,-1.099999999999998,0.1,True
268,27.0,2.0,0.5,-1.099999999999998,0.1,True
269,27.0,2.0,0.5,-1.099999999999998,0.1,True
270,28.0,2.0,0.5,-0.9999999999999978,0.1,True
271,28.0,2.0,0.5,-0.9999999999999978,0.1,True
272,28.0,2.0,0.5,-0.9999999999999978,0.1,True
273,28.0,2.0,0.5,-0.9999999999999978,0.1,True
274,28.0,2.0,0.5,-0.9999999999999978,0.1,True
275,28.0,2.0,0.5,-0.9999999999999978,0.1,True
276,28.0,2.0,0.5,-0.9999999999999978,0.1,True
277,28.0,2.0,0.5,-0.9999999999999978,0.1,True
278,28.0,2.0,0.5,-0.9999999999999978,0.1,True
279,28.0,2.0,0.5,-0.9999999999999978,0.1,True
280,29.0,2.0,0.5,-0.8999999999999977,0.1,True
281,29.0,2.0,0.5,-0.8999999999999977,0.1,True
282,29.0,2.0,0.5,-0.8999999999999977,0.1,True
283,29.0,2.0,0.5,-0.8999999999999977,0.1,True
284,29.0,2.0,0.5,-0.8999999999999977,0.1,True
285,29.0,2.0,0.5,-0.8999999999999977,0.1,True
286,29.0,2.0,0.5,-0.8999999999999977,0.1,True
287,29.0,2.0,0.5,-0.8999999999999977,0.1,True
288,29.0,2.0,0.5,-0.8999999999999977,0.1,True
289,29.0,2.0,0.5,-0.8999999999999977,0.1,True
290,30.0,2.0,0.5,-0.7999999999999976,0.1,True
291,30.0,2.0,0.5,-0.7999999999999976,0.1,True
292,30.0,2.0,0.5,-0.7999999999999976,0.1,True
293,30.0,2.0,0.5,-0.7999999999999976,0.1,True
294,30.0,2.0,0.5,-0.7999999999999976,0.1,True
295,30.0,2.0,0.5,-0.7999999999999976,0.1,True
296,30.0,2.0,0.5,-0.7999999999999976,0.1,True
297,30.0,2.0,0.5,-0.7999999999999976,0.1,True
298,30.0,2.0,0.5,-0.7999999999999976,0.1,True
299,30.0,2.0,0.5,-0.7999999999999976,0.1,True
300,31.0,2.0,0.5,-0.6999999999999975,0.1,True
301,31.0,2.0,0.5,-0.6999999999999975,0.1,True
302,31.0,2.0,0.5,-0.6999999999999975,0.1,True
303,31.0,2.0,0.5,-0.6999999999999975,0.1,True
304,31.0,2.0,0.5,-0.6999999999999975,0.1,True
305,31.0,2.0,0.5,-0.6999999999999975,0.1,True
306,31.0,2.0,0.5,-0.6999999999999975,0.1,True
307,31.0,2.0,0.5,-0.6999999999999975,0.1,True
308,31.0,2.0,0.5,-0.6999999999999975,0.1,True
309,31.0,2.0,0.5,-0.6999999999999975,0.1,True
310,32.0,2.0,0.5,-0.5999999999999974,0.1,True
311,32.0,2.0,0.5,-0.5999999999999974,0.1,True
312,32.0,2.0,0.5,-0.5999999999999974,0.1,True
313,32.0,2.0,0.5,-0.5999999999999974,0.1,True
314,32.0,2.0,0.5,-0.5999999999999974,0.1,True
315,32.0,2.0,0.5,-0.5999999999999974,0.1,True
316,32.0,2.0,0.5,-0.5999999999999974,0.1,True
317,32.0,2.0,0.5,-0.5999999999999974,0.1,True
318,32.0,2.0,0.5,-0.5999999999999974,0.1,True
319,32.0,2.0,0.5,-0.5999999999999974,0.1,True
320,33.0,2.0,0.5,-0.4999999999999973,0.1,True
321,33.0,2.0,0.5,-0.4999999999999973,0.1,True
322,33.0,2.0,0.5,-0.4999999999999973,0.1,True
323,33.0,2.0,0.5,-0.4999999999999973,0.1,True
324,33.0,2.0,0.5,-0.4999999999999973,0.1,True
325,33.0,2.0,0.5,-0.4999999999999973,0.1,True
326,33.0,2.0,0.5,-0.4999999999999973,0.1,True
327,33.0,2.0,0.5,-0.4999999999999973,0.1,True
328,33.0,2.0,0.5,-0.4999999999999973,0.1,True
329,33.0,2.0,0.5,-0.4999999999999973,0.1,True
330,34.0,2.0,0.5,-0.3999999999999972,0.1,True
331,34.0,2.0,0.5,-0.3999999999999972,0.1,True
332,34.0,2.0,0.5,-0.3999999999999972,0.1,True
333,34.0,2.0,0.5,-0.3999999999999972,0.1,True
334,34.0,2.0,0.5,-0.3999999999999972,0.1,True
335,34.0,2.0,0.5,-0.3999999999999972,0.1,True
336,34.0,2.0,0.5,-0.3999999999999972,0.1,True
337,34.0,2.0,0.5,-0.3999999999999972,0.1,True
338,34.0,2.0,0.5,-0.3999999999999972,0.1,True
339,34.0,2.0,0.5,-0.3999999999999972,0.1,True
340,35.0,2.0,0.5,-0.2999999999999971,0.1,True
341,35.0,2.0,0.5,-0.2999999999999971,0.1,True
342,35.0,2.0,0.5,-0.2999999999999971,0.1,True
343,35.0,2.0,0.5,-0.2999999999999971,0.1,True
344,35.0,2.0,0.5,-0.2999999999999971,0.1,True
345,35.0,2.0,0.5,-0.2999999999999971,0.1,True
346,35.0,2.0,0.5,-0.2999999999999971,0.1,True
347,35.0,2.0,0.5,-0.2999999999999971,0.1,True
348,35.0,2.0,0.5,-0.2999999999999971,0.1,True
349,35.0,2.0,0.5,-0.2999999999999971,0.1,True
350,36.0,2.0,0.5,-0.199999999999997,0.1,True
351,36.0,2.0,0.5,-0.199999999999997,0.1,True
352,36.0,2.0,0.5,-0.199999999999997,0.1,True
353,36.0,2.0,0.5,-0.199999999999997,0.1,True
354,36.0,2.0,0.5,-0.199999999999997,0.1,True
355,36.0,2.0,0.5,-0.199999999999997,0.1,True
356,36.0,2.0,0.5,-0.199999999999997,0.1,True
357,36.0,2.0,0.5,-0.199999999999997,0.1,True
358,36.0,2.0,0.5,-0.199999999999997,0.1,True
359,36.0,2.0,0.5,-0.199999999999997,0.1,True
360,37.0,2.0,0.5,-0.0999999999999969,0.1,True
361,37.0,2.0,0.5,-0.0999999999999969,0.1,True
362,37.0,2.0,0.5,-0.0999999999999969,0.1,True
363,37.0,2.0,0.5,-0.0999999999999969,0.1,True
364,37.0,2.0,0.5,-0.0999999999999969,0.1,True
365,37.0,2.0,0.5,-0.0999999999999969,0.1,True
366,37.0,2.0,0.5,-0.0999999999999969,0.1,True
367,37.0,2.0,0.5,-0.0999999999999969,0.1,True
368,37.0,2.0,0.5,-0.0999999999999969,0.1,True
369,37.0,2.0,0.5,-0.0999999999999969,0.1,True
370,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
371,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
372,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
373,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
374,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
375,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
376,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
377,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
378,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
379,38.0,2.0,0.5,3.1086244689504387e-15,0.1,True
380,39.0,2.0,0.5,0.1000000000000032,0.1,True
381,39.0,2.0,0.5,0.1000000000000032,0.1,True
382,39.0,2.0,0.5,0.1000000000000032,0.1,True
383,39.0,2.0,0.5,0.1000000000000032,0.1,True
384,39.0,2.0,0.5,0.1000000000000032,0.1,True
385,39.0,2.0,0.5,0.1000000000000032,0.1,True
386,39.0,2.0,0.5,0.1000000000000032,0.1,True
387,39.0,2.0,0.5,0.1000000000000032,0.1,True
388,39.0,2.0,0.5,0.1000000000000032,0.1,True
389,39.0,2.0,0.5,0.1000000000000032,0.1,True
390,40.0,2.0,0.5,0.2000000000000033,0.1,True
391,40.0,2.0,0.5,0.2000000000000033,0.1,True
392,40.0,2.0,0.5,0.2000000000000033,0.1,True
393,40.0,2.0,0.5,0.2000000000000033,0.1,True
394,40.0,2.0,0.5,0.2000000000000033,0.1,True
395,40.0,2.0,0.5,0.2000000000000033,0.1,True
396,40.0,2.0,0.5,0.2000000000000033,0.1,True
397,40.0,2.0,0.5,0.2000000000000033,0.1,True
398,40.0,2.0,0.5,0.2000000000000033,0.1,True
399,40.0,2.0,0.5,0.2000000000000033,0.1,True
400,41.0,2.0,0.5,0.3000000000000034,0.1,True
401,41.0,2.0,0.5,0.3000000000000034,0.1,True
402,41.0,2.0,0.5,0.3000000000000034,0.1,True
403,41.0,2.0,0.5,0.3000000000000034,0.1,True
404,41.0,2.0,0.5,0.3000000000000034,0.1,True
405,41.0,2.0,0.5,0.3000000000000034,0.1,True
406,41.0,2.0,0.5,0.3000000000000034,0.1,True
407,41.0,2.0,0.5,0.3000000000000034,0.1,True
408,41.0,2.0,0.5,0.3000000000000034,0.1,True
409,41.0,2.0,0.5,0.3000000000000034,0.1,True
410,42.0,2.0,0.5,0.400000000000003,0.1,True
411,42.0,2.0,0.5,0.400000000000003,0.1,True
412,42.0,2.0,0.5,0.400000000000003,0.1,True
413,42.0,2.0,0.5,0.400000000000003,0.1,False
414,42.0,2.0,0.5,0.400000000000003,0.1,True
415,42.0,2.0,0.5,0.400000000000003,0.1,True
416,42.0,2.0,0.5,0.400000000000003,0.1,True
417,42.0,2.0,0.5,0.400000000000003,0.1,True
418,42.0,2.0,0.5,0.400000000000003,0.1,False
419,42.0,2.0,0.5,0.400000000000003,0.1,True
420,43.0,2.0,0.5,0.5000000000000036,0.1,False
421,43.0,2.0,0.5,0.5000000000000036,0.1,False
422,43.0,2.0,0.5,0.5000000000000036,0.1,False
423,43.0,2.0,0.5,0.5000000000000036,0.1,False
424,43.0,2.0,0.5,0.5000000000000036,0.1,False
425,43.0,2.0,0.5,0.5000000000000036,0.1,False
426,43.0,2.0,0.5,0.5000000000000036,0.1,False
427,43.0,2.0,0.5,0.5000000000000036,0.1,False
428,43.0,2.0,0.5,0.5000000000000036,0.1,True
429,43.0,2.0,0.5,0.5000000000000036,0.1,True
430,44.0,2.0,0.5,0.6000000000000041,0.1,False
431,44.0,2.0,0.5,0.6000000000000041,0.1,False
432,44.0,2.0,0.5,0.6000000000000041,0.1,False
433,44.0,2.0,0.5,0.6000000000000041,0.1,False
434,44.0,2.0,0.5,0.6000000000000041,0.1,False
435,44.0,2.0,0.5,0.6000000000000041,0.1,False
436,44.0,2.0,0.5,0.6000000000000041,0.1,False
437,44.0,2.0,0.5,0.6000000000000041,0.1,False
438,44.0,2.0,0.5,0.6000000000000041,0.1,False
439,44.0,2.0,0.5,0.6000000000000041,0.1,False
440,45.0,2.0,0.5,0.7000000000000037,0.1,False
441,45.0,2.0,0.5,0.7000000000000037,0.1,False
